STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2020,,-0.07,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2021,,0.28,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2022,,0.32,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2023,,0.19,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AL,Albania,2024,,0.17,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2020,,-0.42,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2021,,0.10,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2022,,0.41,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2023,,0.11,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",AT,Austria,2024,,0.01,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2020,,-0.16,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2021,,0.17,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2022,,0.16,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2023,,0.15,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2024,,0.09,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2020,,-0.36,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2021,,0.22,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2022,,0.21,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2023,,0.06,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BE,Belgium,2024,,0.02,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BG,Bulgaria,2020,,-0.42,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BG,Bulgaria,2021,,-0.04,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BG,Bulgaria,2022,,-0.02,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BG,Bulgaria,2023,,-0.04,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",BG,Bulgaria,2024,,0.01,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CH,Switzerland,2020,,-0.41,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CH,Switzerland,2021,,0.52,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CH,Switzerland,2022,,0.40,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CH,Switzerland,2023,,-0.41,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CH,Switzerland,2024,,0.41,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CY,Cyprus,2020,,-0.71,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CY,Cyprus,2021,,0.51,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CY,Cyprus,2022,,0.44,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CY,Cyprus,2023,,0.09,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CY,Cyprus,2024,,0.11,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CZ,Czechia,2020,,-0.27,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",B1G,"Value added, gross",CZ,Czechia,2021,,0.08,,,,,
