STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2020,,-1.35,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2021,,1.38,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2022,,1.52,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2023,,1.56,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2024,,1.02,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2020,,-2.43,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2021,,-0.08,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2022,,2.34,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2023,,-0.60,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2024,,-0.31,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2020,,-2.15,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2021,,2.35,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2022,,1.57,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2023,,0.64,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2024,,1.45,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BE,Belgium,2020,,-1.48,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BE,Belgium,2021,,1.92,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BE,Belgium,2022,,1.12,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BE,Belgium,2023,,0.10,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BE,Belgium,2024,,-0.04,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BG,Bulgaria,2020,,-1.19,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BG,Bulgaria,2021,,2.54,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BG,Bulgaria,2022,,0.22,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BG,Bulgaria,2023,,1.12,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",BG,Bulgaria,2024,,0.72,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CH,Switzerland,2020,,-1.49,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CH,Switzerland,2021,,-0.77,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CH,Switzerland,2022,,0.32,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CH,Switzerland,2023,,1.18,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CH,Switzerland,2024,,-0.01,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CY,Cyprus,2020,,-5.57,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CY,Cyprus,2021,,5.53,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CY,Cyprus,2022,,1.71,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CY,Cyprus,2023,,1.04,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CON_PPCH_PRE,"Contribution to GDP growth, percentage point change on previous period",G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",CY,Cyprus,2024,,0.86,,p,provisional,,
