STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,subjnmon,Subjective and non-monetary indicator,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,AL,Albania,2020,,34.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,AL,Albania,2021,,34.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,AT,Austria,2020,,3.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,AT,Austria,2021,,4.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,AT,Austria,2022,,6.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,AT,Austria,2023,,7.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,AT,Austria,2024,,7.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BE,Belgium,2020,,6.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BE,Belgium,2021,,7.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BE,Belgium,2022,,7.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BE,Belgium,2023,,7.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BE,Belgium,2024,,8.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BG,Bulgaria,2020,,22.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BG,Bulgaria,2021,,21.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BG,Bulgaria,2022,,23.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BG,Bulgaria,2023,,19.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,BG,Bulgaria,2024,,23.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CH,Switzerland,2020,,6.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CH,Switzerland,2021,,5.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CH,Switzerland,2022,,5.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CH,Switzerland,2023,,4.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CY,Cyprus,2020,,12.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CY,Cyprus,2021,,12.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CY,Cyprus,2022,,16.8,,,,,
