STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2020,,4710,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2021,,5190,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2022,,5500,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2020,,42650,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2021,,44520,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2022,,46350,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2023,,45510,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2024,,44830,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2020,,40190,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2021,,42510,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2022,,43960,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2023,,44120,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2024,,44300,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2020,,9450,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2021,,10250,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2022,,10740,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2023,,10970,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2024,,11300,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2020,,75280,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2021,,78880,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2022,,80600,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2023,,79940,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CH,Switzerland,2024,,80080,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2020,,24630,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2021,,27030,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2022,,28440,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2023,,28670,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2024,,29190,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2020,,20980,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2021,,21830,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2022,,21910,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2023,,21660,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2024,,21870,,,,,
